id,name,level,element,map,drops,hp
39,Ageladanios,218,Fire,Ducia Coast: Area 1,"Savage Mail, Evil Spirit Horns, Flame of Misfortune, Raging Soul, Ageladanios",7000000
40,Alfenix,180,Light,El Scaro,"Japanese Caramel Candy, Superbia Head Chain, Cute Ornament String, Amezaiku Wings, Orichalcum Ore, Alfenix",5000000
41,Alfenix,150,Light,El Scaro,"Japanese Caramel Candy, Superbia Head Chain, Cute Ornament String, Amezaiku Wings, Orichalcum Ore, Alfenix",2600000
42,Alfenix,180,Light,Cookie Road,"Japanese Caramel Candy, Cute Ornament String, Amezaiku Wings",Unknown
43,Alfenix,230,Light,El Scaro,"Japanese Caramel Candy, Superbia Head Chain, Cute Ornament String, Amezaiku Wings, Alfreon, Orichalcum Ore, Alfenix",14200000
44,Alfenix,210,Light,El Scaro,"Japanese Caramel Candy, Superbia Head Chain, Cute Ornament String, Amezaiku Wings, Orichalcum Ore, Alfenix",8560000
45,Alipipi,230,Wind,Subma Cave,"Sharp Clawed Wing, Dark Red Eye, Sharp Ear, Accuracy+16",Unknown
46,Alipipi,228,Wind,Subma Cave,"Sharp Clawed Wing, Dark Red Eye, Sharp Ear, Accuracy+16",Unknown
47,Alpoca,165,Neutral,Labilans Sector: Area 3,"Trunk Backpack, Cushy Tail, Alpoca Fur, Smooth Fine Hair",35000
48,Alpoca,164,Neutral,Labilans Sector: Area 2,"Trunk Backpack, Cushy Tail, Alpoca Fur, Smooth Fine Hair",35000
49,Alpoca,153,Neutral,Dikkit Sector,"Fluffy Cape, Cushy Tail, Tasty Grass, Smooth Fine Hair",10000
50,Alpoca,155,Neutral,Dikkit Sector,"Fluffy Cape, Cushy Tail, Tasty Grass, Smooth Fine Hair",10000
51,Altadar,290,Wind,High Difficulty Boss Battle Event Venue,"Vintage Iron Box, Altadar",Unknown
52,Altoblepas,174,Neutral,Rokoko Plains,"Double Barrel, Vocal Sac, Squawker Horn, Cracked Hunting Horn, Altoblepas",Unknown
53,Amalgam,200,Dark,Twilight Sakura Castle: Top,"Adventurer's Garb, Corroded Yozakura, Sakura Eater Crystal, Yozakura Wings, Scarlet Sakura Fairy Sword, Amalgam",10000000
54,Amalgam,180,Dark,Twilight Sakura Castle: Top,"Twilight Sakura Arrow, Adventurer's Garb, Twilight Sakura Dagger, Corroded Yozakura, Sakura Eater Crystal, Amalgam",6000000
55,Amalgam,160,Dark,Twilight Sakura Castle: Top,"Twilight Sakura Arrow, Adventurer's Garb, Twilight Sakura Dagger, Corroded Yozakura, Sakura Eater Crystal, Amalgam",3000000
56,Amalgam,140,Dark,Twilight Sakura Castle: Top,"Twilight Sakura Arrow, Adventurer's Garb, Twilight Sakura Dagger, Corroded Yozakura, Amalgam",740000
57,Amiya,173,Light,Underwater Canyon: Area 3,"Sweet Shrimp, Seabed Crystal Stone, Peach Pink Antenna, Glowing Sea Talisman",44500
58,Amiya,172,Light,Underwater Canyon: Area 2,"Sweet Shrimp, Seabed Crystal Stone, Peach Pink Antenna, Glowing Sea Talisman",44500
59,Amiya,171,Light,Underwater Canyon: Area 1,"Sweet Shrimp, Seabed Crystal Stone, Peach Pink Antenna, Glowing Sea Talisman",44500
60,Amoeba Machina,158,Water,Ultimea Sewer: Southeast,"Master's Tonfa, Soft Swollen Nail, Crooked Nucleic Acid, Mysterious Cube, Amoeba Machina",Unknown
61,Anchorsea,234,Water,Seabed,"Anger Knife, Tangled Rope, Longevity Eyebrow, Anchor Tail",Unknown
62,Anchorsea,232,Water,Seabed,"Anger Knife, Tangled Rope, Longevity Eyebrow, Anchor Tail",Unknown
63,Ancient Empress (7M DL),150,Light,Event,"Empress Mail, Ancient Empress II",Unknown
64,Ancient Empress Mezzaluna,74,Light,Ancient Empress Tomb: Deepest Part,"Adventurer's Garb, Empress Bowgun, Empress Aura, Empress Medal, Empress Hair Accessory, Empress Soul, Ancient Empress",260000
65,Ancient Empress Mezzaluna,54,Light,Ancient Empress Tomb: Deepest Part,"Adventurer's Garb, Empress Bowgun, Empress Aura, Empress Medal, Empress Hair Accessory, Empress Soul",130000
66,Ancient Empress Mezzaluna,135,Light,Event,"Empress Mail, Ancient Empress II",2000000
67,Ancient Empress Mezzaluna,64,Light,Ancient Empress Tomb: Deepest Part,"Adventurer's Garb, Empress Bowgun, Empress Aura, Empress Medal, Empress Hair Accessory, Empress Soul, Ancient Empress",130000
68,Ancient Empress Mezzaluna,104,Light,Ancient Empress Tomb: Deepest Part,"Adventurer's Garb, Empress Bowgun, Empress Aura, Empress Medal, Empress Hair Accessory, Empress Soul, Ancient Empress",1300000
69,Ancient Empress Mezzaluna,84,Light,Ancient Empress Tomb: Deepest Part,"Adventurer's Garb, Empress Bowgun, Empress Aura, Empress Medal, Empress Hair Accessory, Empress Soul, Ancient Empress",650000
70,Ancient Empress Mezzaluna (Hell),180,Dark,Event,"[Book of Magic Warrior], Super Anti-Degradation, Curious Dress, Orichalcum Ore, Iron Empress",4000000
71,Ancient Empress Mezzaluna (Megiston 2016),110,Light,Event,"Empress Mail, Empress Bowgun, Empress Soul, Ancient Empress",500000
72,Anglerfish,241,Water,Abandoned District: Area 2,"Vegitos Bowgun, Jiggly Skin, Luxury Anglerfish Liver, Anglerfish Meat",Unknown
73,Anglerfish,240,Water,Abandoned District: Area 1,"Vegitos Bowgun, Jiggly Skin, Luxury Anglerfish Liver, Anglerfish Meat",Unknown
74,Anglerfish,242,Water,Abandoned District: Area 2,"Vegitos Bowgun, Jiggly Skin, Luxury Anglerfish Liver, Anglerfish Meat",Unknown
75,Anniv Equipment Box I,0,Neutral,-,"1st Anniv Sword, 1st Anniv Greatsword, Anniv Festive Arrow, 1st Anniv Bow, 1st Anniv Bowgun, Anniv Festive Dagger, 1st Anniv Knuckles, 1st Anniv Wings, 1st Anniv Shield, 1st Anniv Staff",0
76,Anniv Equipment Box II,0,Neutral,-,"2nd Anniv Sword, 2nd Anniv Greatsword, 2nd Anniv Bow, 2nd Anniv Bowgun, 2nd Anniv Knuckles, 2nd Anniv Wings, 2nd Anniv Shield, Anniv Festive Ring, Anniv Festive Bangle, 2nd Anniv Staff, 2nd Anniv Halberd",0
77,Anniv Equipment Box III,0,Neutral,-,"3rd Anniv Sword, 3rd Anniv Greatsword, Anniv Festive Arrow II, 3rd Anniv Bow, 3rd Anniv Bowgun, Anniv Festive Dagger II, 3rd Anniv Knuckles, 3rd Anniv Wings, 3rd Anniv Shield, 3rd Anniv Staff, 3rd Anniv Halberd, 3rd Anniv Katana",0
78,Anniv Equipment Box IV,0,Neutral,-,"4th Anniv Sword, 4th Anniv Greatsword, 4th Anniv Bow, 4th Anniv Bowgun, 4th Anniv Knuckles, 4th Anniv Wings, 4th Anniv Shield, Anniv Festive Bangle II, Anniv Festive Ring II, 4th Anniv Staff, 4th Anniv Halberd, 4th Anniv Katana",0
79,Anniv Equipment Box V,0,Neutral,-,"5th Anniv Sword, 5th Anniv Greatsword, Anniv Festive Arrow III, 5th Anniv Bow, 5th Anniv Bowgun, Anniv Festive Dagger III, 5th Anniv Knuckles, 5th Anniv Wings, 5th Anniv Shield, 5th Anniv Staff, 5th Anniv Halberd, 5th Anniv Katana",0
80,Anniv Equipment Box VI,0,Neutral,-,"6th Anniv Sword, 6th Anniv Greatsword, 6th Anniv Bow, 6th Anniv Bowgun, 6th Anniv Knuckles, 6th Anniv Wings, 6th Anniv Shield, Anniv Festive Bangle III, Anniv Festive Ring III, 6th Anniv Staff, 6th Anniv Halberd, 6th Anniv Katana",0
81,Anniv Equipment Box VII,0,Neutral,-,"7th Anniv Sword, 7th Anniv Greatsword, Anniv Festive Arrow IV, 7th Anniv Bow, 7th Anniv Bowgun, Anniv Festive Dagger IV, 7th Anniv Knuckles, 7th Anniv Wings, 7th Anniv Shield, 7th Anniv Staff, 7th Anniv Halberd, 7th Anniv Katana",0
82,Antbee,155,Wind,Eryldan Street: Area 3,"Tasty Honey, Sharp Poison Needle, Tough Insect Wings, Crescent Blade",16000
83,Antbee,154,Wind,Eryldan Street: Area 2,"Tasty Honey, Sharp Poison Needle, Tough Insect Wings, Crescent Blade",16000
84,Antbee,153,Wind,Eryldan Street: Area 1,"Tasty Honey, Sharp Poison Needle, Tough Insect Wings, Crescent Blade",16000
85,Anti-Xmas Killer Blade,181,Dark,Noeliel Castle: B1F (170-190),"Santa Hooded Cape, Chipped Blade Fin, Warped Blade, Dull Crest",Unknown
86,Anti-Xmas Killer Blade,201,Dark,Noeliel Castle: B1F (190-210),"Desert Blade, Serrated Beak, Dull Crest, Bloody Claw",Unknown
87,Anti-Xmas Killer Blade,158,Dark,Noeliel Castle: B1F (150-170),"Phantom Cloth, Reaper Blade, Dull Crest, Laurel Staff",Unknown
88,Anti-Xmas Killer Blade,178,Dark,Noeliel Castle: B1F (170-190),"Santa Hooded Cape, Chipped Blade Fin, Warped Blade, Dull Crest",Unknown
89,Anti-Xmas Killer Blade,198,Dark,Noeliel Castle: B1F (190-210),"Desert Blade, Serrated Beak, Dull Crest, Bloody Claw",Unknown
90,Anti-Xmas Killer Blade,163,Dark,Noeliel Castle: B3F (150-170),"Phantom Cloth, Reaper Blade, Dull Crest, Laurel Staff",Unknown
91,Anti-Xmas Killer Blade,183,Dark,Noeliel Castle: B3F (170-190),"Santa Hooded Cape, Chipped Blade Fin, Warped Blade, Dull Crest",Unknown
92,Anti-Xmas Killer Blade,161,Dark,Noeliel Castle: B3F (150-170),"Phantom Cloth, Reaper Blade, Dull Crest, Laurel Staff",Unknown
93,Anti-Xmas Killer Blade,181,Dark,Noeliel Castle: B3F (170-190),"Santa Hooded Cape, Chipped Blade Fin, Warped Blade, Dull Crest",Unknown
94,Anti-Xmas Killer Blade,161,Dark,Noeliel Castle: B2F (150-170),"Phantom Cloth, Reaper Blade, Dull Crest, Laurel Staff",Unknown
95,Anti-Xmas Killer Blade,181,Dark,Noeliel Castle: B2F (170-190),"Santa Hooded Cape, Chipped Blade Fin, Warped Blade, Dull Crest",Unknown
96,Anti-Xmas Killer Blade,201,Dark,Noeliel Castle: B2F (190-210),"Desert Blade, Serrated Beak, Dull Crest, Bloody Claw",Unknown
97,Anti-Xmas Killer Blade,158,Dark,Noeliel Castle: B2F (150-170),"Phantom Cloth, Reaper Blade, Dull Crest, Laurel Staff",Unknown
98,Anti-Xmas Killer Blade,178,Dark,Noeliel Castle: B2F (170-190),"Santa Hooded Cape, Chipped Blade Fin, Warped Blade, Dull Crest",Unknown
99,Anti-Xmas Killer Blade,198,Dark,Noeliel Castle: B2F (190-210),"Desert Blade, Serrated Beak, Dull Crest, Bloody Claw",Unknown
100,Anti-Xmas Killer Blade,161,Dark,Noeliel Castle: B1F (150-170),"Phantom Cloth, Reaper Blade, Dull Crest, Laurel Staff",Unknown
101,Anti-Xmas Killer Blade,203,Dark,Noeliel Castle: B3F (190-210),"Desert Blade, Dull Crest, Bloody Claw, Serrated Beak",Unknown
102,Anti-Xmas Killer Blade,201,Dark,Noeliel Castle: B3F (190-210),"Desert Blade, Dull Crest, Bloody Claw, Serrated Beak",Unknown
103,Apapat,247,Neutral,Little Shrine of Grace: Area 2,"Dagger of Grace, Fan-Shaped Tail Fin, Hidden Long Tongue, Sticky Foam",0
104,Apapat,246,Neutral,Little Shrine of Grace: Area 1,"Dagger of Grace, Sticky Foam, Fan-Shaped Tail Fin, Hidden Long Tongue",0
105,Apapat,248,Neutral,Little Shrine of Grace: Area 3,"Dagger of Grace, Sticky Foam, Fan-Shaped Tail Fin, Hidden Long Tongue",0
106,Aqua Jelly,43,Water,Korda Basin,"Pale Gelatin, Ribbon, Twinkle Stone, Living Liquid",3500
107,Arachnidemon,216,Dark,Arche Valley: Depths,"Arachnid Sword, Arachnid Claws, Arachnidemon Horn, Arachnidemon Wing, Evil Spirit Crystal, Radiant Miracle Water, Arachnidemon",11970000
108,Arachnidemon,206,Dark,Arche Valley: Depths,"Arachnid Sword, Arachnid Claws, Arachnidemon Horn, Arachnidemon Wing, Evil Spirit Crystal, Radiant Miracle Water, Arachnidemon",4788000
109,Arachnidemon,196,Dark,Arche Valley: Depths,"Arachnid Sword, Arachnid Claws, Arachnidemon Horn, Arachnidemon Wing, Evil Spirit Crystal, Radiant Miracle Water, Arachnidemon",2394000
110,Arachnidemon,186,Dark,Arche Valley: Depths,"Arachnid Sword, Arachnid Claws, Arachnidemon Horn, Arachnidemon Wing, Evil Spirit Crystal, Radiant Miracle Water, Arachnidemon",239400
111,Arachnidemon,236,Dark,Arche Valley: Depths,"Arachnid Sword, Arachnid Claws, Arachnidemon Horn, Arachnidemon Wing, Evil Spirit Crystal, Radiant Miracle Water, Arachnidemon",23940000
112,Aramia,87,Earth,Garden of Sublimation: Area 3,"Small Spider Silk, Chipped Crystal Stone, Glossy Skin, Devil's Staff",11000
113,Aramia,87,Earth,Garden of Sublimation: Area 2,"Small Spider Silk, Chipped Crystal Stone, Glossy Skin, Devil's Staff",11000
114,Aranea,120,Earth,Garden of Sublimation: Central Part,"Crystal Spider Leg Shell, Aranea Silk, Crystal Compound Eyes, Crystal Spider Fang, Aranea Ore, Aranea, Intruder",1900000
115,Aranea,110,Earth,Garden of Sublimation: Central Part,"Crystal Spider Leg Shell, Aranea Silk, Crystal Compound Eyes, Crystal Spider Fang, Aranea Ore, Aranea, Intruder",760000
116,Aranea,90,Earth,Garden of Sublimation: Central Part,"Crystal Spider Leg Shell, Aranea Silk, Crystal Compound Eyes, Crystal Spider Fang, Aranea Ore, Intruder",38000
117,Aranea,100,Earth,Garden of Sublimation: Central Part,"Crystal Spider Leg Shell, Aranea Silk, Crystal Compound Eyes, Crystal Spider Fang, Aranea Ore, Aranea, Intruder",380000
118,Aranea,140,Earth,Garden of Sublimation: Central Part,"Crystal Spider Leg Shell, Aranea Silk, Crystal Compound Eyes, Crystal Spider Fang, Aranea Ore, Aranea, Intruder",3800000
119,Arbogazella,236,Wind,Guardian Forest: Lost Woods,"Star Fruit, Guardian Forest Arrow, Sharp Wooden Horn, Sacred Forest Sound, Arbogazella",Unknown
120,Arbonymon,170,Earth,Celarra Plateau,"Fat Trunk, Solid Wood, Evil Nymph Pollen, INT +6",13000
121,Arborgon,39,Earth,Harde Hill,"High-Quality Wood Arrow, Tree Dragon Branch, Strange Egg, Tree Dragon Bark",Unknown
122,Arcoiris,70,Neutral,Yorl Highlands,"Feather Cape, Adventurer's Garb, Rainbow Feather, Bead Fragment, Bird Wing, Arcoiris",Unknown
123,Ardvan,140,Light,Ruins of Mt. Mithurna: Stylobate,"Elfin Sword, Mithurna Stone, Beautiful Pebble, Mithril Ore",20000
124,Ardvan,139,Light,Ruins of Mt. Mithurna: Long Stairs,"Elfin Sword, Mithurna Stone, Beautiful Pebble, Mithril Ore",20000
125,Arena Lv230 Entry (7th Anniv),0,Unknown,Anniversary Arena: 7th Venue,"Revita VII, Regera V, Golpom 7th Anniv Medal, Memorial Cloth",Unknown
126,Arena Lv240 Entry (7th Anniv),0,Unknown,Anniversary Arena: 7th Venue,"Regera VI, Revita VIII, Golpom 7th Anniv Medal, Memorial Cloth",Unknown
127,Arena Lv250 Entry (8th Anniv),0,Unknown,Anniversary Arena: 8th Venue,"Magiadd VI, Revita VII, Memorial Silk, Golpom 8th Anniv Medal",Unknown
128,Arena Lv260 Entry (8th Anniv),0,Unknown,Anniversary Arena: 8th Venue,"Revita VII, Regera VI, Memorial Silk, Golpom 8th Anniv Medal",Unknown
129,Arhinotops,184,Earth,Movere Specula,"Herbivore's Horn, Herbivore's Spine, Hematite, VIT+7",15420
130,Arhinotops,181,Earth,Movere Specula,"Herbivore's Horn, Herbivore's Spine, Hematite, VIT+7",15420
131,Arigazella,183,Earth,Movere Specula,"Star Fruit, Life Branch Dagger, Sharp Wooden Horn, Tree Branch",13900
132,Arigazella,180,Earth,Movere Specula,"Star Fruit, Life Branch Dagger, Sharp Wooden Horn, Tree Branch",13900
133,Armasite,201,Fire,Fractum Sector: Area 1,"Corroded Stem, Mutated Plant Thorn, Amethyst Flower, Armasite",Unknown
134,Assault Golem,118,Dark,Lufenas Mansion: Library,"Metal Bowgun, Crimson Loincloth, Tubular Part, Hard Glass",20000
135,Assault Golem,117,Dark,Lufenas Mansion: Corridor,"Metal Bowgun, Crimson Loincloth, Tubular Part, Hard Glass",19000
136,Assault Golem,116,Dark,Lufenas Mansion: Entrance,"Metal Bowgun, Crimson Loincloth, Tubular Part, Hard Glass",19000
137,Astol,90,Wind,Aulada Ancient Tower,"Aqua Garb, Heaven Bird Crest, Heaven Bird Tear, Heaven Bird Claw, Heaven Bird Tail Feather, Crystal Wing, Astol",820400
138,Astol,70,Wind,Aulada Ancient Tower,"Aqua Garb, Heaven Bird Crest, Heaven Bird Tear, Heaven Bird Claw, Heaven Bird Tail Feather, Crystal Wing, Astol",410200
139,Astol,60,Wind,Aulada Ancient Tower,"Aqua Garb, Heaven Bird Crest, Heaven Bird Tear, Heaven Bird Claw, Heaven Bird Tail Feather, Crystal Wing, Astol",164080
140,Astol,40,Wind,Aulada Ancient Tower,"Aqua Garb, Heaven Bird Crest, Heaven Bird Tear, Heaven Bird Claw, Heaven Bird Tail Feather, Crystal Wing",8204
141,Astol,50,Wind,Aulada Ancient Tower,"Aqua Garb, Heaven Bird Crest, Heaven Bird Tear, Heaven Bird Claw, Heaven Bird Tail Feather, Crystal Wing, Astol",82040
142,Astron,50,Dark,Road to Another World: Area 1,"Wizard Hat, Huge Mouth, Outer World Skin, Mysterious Sphere",10000
143,Astron,52,Dark,Road to Another World: Area 2,"Wizard Hat, Huge Mouth, Outer World Skin, Mysterious Sphere",10000
144,Astron,50,Dark,Road to Another World: Area 2,"Wizard Hat, Huge Mouth, Outer World Skin, Mysterious Sphere",10000
145,Astron,51,Dark,Road to Another World: Area 1,"Wizard Hat, Huge Mouth, Outer World Skin, Mysterious Sphere",10000
146,Atoble,228,Water,Labrum Atoll,"Dusk Feeler, Blue Slime, Coral Pink Bubble, Coral Peach Talisman",21970
147,Atoble,226,Water,Labrum Atoll,"Dusk Feeler, Blue Slime, Coral Pink Bubble, Coral Peach Talisman",21588
148,Aubergine Dragon Auvio,245,Earth,Rakau Plains,"Roasted Eggplant, Eggplant Agebitashi, Sweet Miso Eggplant, Eggplant Skewer, Persimmon Coryn Forest, Mapo Eggplant, Miso-Marinated Eggplant, Eggplant Tempura, Romanian Eggplant Dip, Aubergine Armor, Fallen in Fall, Aubermight, Aubergine Dragon Auvio",14800000
149,Aubergine Dragon Auvio,235,Earth,Rakau Plains,"Roasted Eggplant, Eggplant Agebitashi, Sweet Miso Eggplant, Eggplant Skewer, Persimmon Coryn Forest, Mapo Eggplant, Miso-Marinated Eggplant, Eggplant Tempura, Romanian Eggplant Dip, Aubergine Armor, Fallen in Fall, Aubermight, Aubergine Dragon Auvio",7400000
150,Aubergine Dragon Auvio,275,Earth,Rakau Plains,"Roasted Eggplant, Eggplant Agebitashi, Sweet Miso Eggplant, Eggplant Skewer, Persimmon Coryn Forest, Mapo Eggplant, Miso-Marinated Eggplant, Eggplant Tempura, Romanian Eggplant Dip, Aubergine Armor, Fallen in Fall, Aubermight, Aubergine Dragon Auvio",74000000
151,Aubergine Dragon Auvio,255,Earth,Rakau Plains,"Roasted Eggplant, Eggplant Agebitashi, Sweet Miso Eggplant, Eggplant Skewer, Persimmon Coryn Forest, Mapo Eggplant, Miso-Marinated Eggplant, Eggplant Tempura, Romanian Eggplant Dip, Aubergine Armor, Fallen in Fall, Aubermight, Aubergine Dragon Auvio",37000000
152,Avalan,70,Water,Navida City: East (60-80),"Iron Thorns, Magic Oil, Huge Mouth, Navida Stone, Mezraq",Unknown
153,Avalan,68,Water,Navida City: Crossroad (60-80),"Iron Thorns, Magic Oil, Huge Mouth, Navida Stone, Mezraq",Unknown
154,B.B. Goblin,60,Fire,Rinom Plains,"B.B. Garb, Broken Bone Accessory, Fairy Nose, Dyed Reinforced Cloth",243312
155,B.B. Goblin,70,Fire,Rinom Plains,"B.B. Garb, Dyed Reinforced Cloth, Fairy Nose, Broken Bone Accessory, B.B. Goblin",24331
156,B.B. Goblin,110,Unknown,Rinom Plains,"B.B. Garb, Dyed Reinforced Cloth, Fairy Nose, Broken Bone Accessory, B.B. Goblin",Unknown
157,B.B. Goblin,90,Unknown,Rinom Plains,"B.B. Garb, Dyed Reinforced Cloth, Fairy Nose, Broken Bone Accessory, B.B. Goblin",Unknown
158,B.B. Goblin,80,Unknown,Rinom Plains,"B.B. Garb, Dyed Reinforced Cloth, Fairy Nose, Broken Bone Accessory, B.B. Goblin",Unknown
159,B.B. Goblin (Megiston 2016),80,Fire,Event,"B.B. Garb, B.B. Goblin",Unknown
160,Baavgai (Easy),200,Earth,Mt. Sakuraten: Summit,"Pink Orange Wicker Box, Swordsbear Treasured Sake, Baavgai Hat, Swordsbear Fluffy Beard, Mount Sakuraten Pebble, Sakura Warrior Staff, Sakura Warrior Halberd, Baavgai",5000000
161,Baavgai (Hard),240,Earth,Mt. Sakuraten: Summit,"Pink Orange Wicker Box, Swordsbear Treasured Sake, Baavgai Hat, Swordsbear Fluffy Beard, Mount Sakuraten Pebble, Sakura Warrior Staff, Sakura Warrior Halberd, Baavgai",11800000
162,Baavgai (Nightmare),260,Earth,Mt. Sakuraten: Summit,"Pink Orange Wicker Box, Swordsbear Treasured Sake, Salmon Jerky Greatsword, Baavgai Hat, Salmon Jerky Knuckles, Swordsbear Fluffy Beard, Mount Sakuraten Pebble, Baavgai",19160000
163,Baavgai (Normal),220,Earth,Mt. Sakuraten: Summit,"Pink Orange Wicker Box, Swordsbear Treasured Sake, Baavgai Hat, Swordsbear Fluffy Beard, Mount Sakuraten Pebble, Sakura Warrior Staff, Sakura Warrior Halberd, Baavgai",8000000
